Location,Burrito,Neighborhood,Chips,Cost,Hunger,Mass (g),Density (g/mL),Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Unreliable,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
El Cuervo,Pollo adobado,Hillcrest,,5.95,4,,,3.5,5,4.5,3.5,4,4.5,4.5,4,5,4,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Cuervo,California ,Hillcrest,,6.95,3.5,,,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado Mexican Food,Super,Temecula,,6.94,3.75,,,3.5,3.5,3.5,3.5,4,4,4.5,3.5,4.5,3.8,,X,,X,X,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
El Dorado Mexican Food,California,Temecula,,6.94,4,,,4,4,4,4.5,3.2,3,4.5,4.5,2,4.5,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Indio,California,Hillcrest,,7.84,4,,,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Nopalito ,Especial ,Encinitas,x,4.87,2,,,3,4,1.5,2,3,5,3,2.5,5,2.6,,X,,X,X,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
El Patron,Breakfast,National City,,4.19,3,,,3,5,2,2,4,1,4,3,4,2,x,,,,x,,x,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,
El Pollo Loco,Chicken avocado,Oceanside,,5.99,3.5,,,2,3,3.8,2.5,2.5,3,2.5,3,2.6,3.2,,,,x,,,,,x,,,,,,,,,x,,,x,,,,,,,,,,,,,,,
El Portal Fresh Mexican Grill,Mahi,Clairemont,X,7.35,2.3,,,4,4,3.5,2,1.5,2,2,3,1.2,3.1,,,,X,,,,,,,X,,,,X,,,X,,,,,,,,,,,,,,,,,,
El Portal Fresh Mexican Grill,Carnitas,Clairemont,,6.7,3.75,,,3.5,4,4,3,3.75,4,3,3.5,4.5,3.75,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
